,지역명,규모구분,연도,월,분양가격
0,서울,전체,2015,10,5841.0
1,서울,전용면적 60㎡이하,2015,10,5652.0
2,서울,전용면적 60㎡초과 85㎡이하,2015,10,5882.0
3,서울,전용면적 85㎡초과 102㎡이하,2015,10,5721.0
4,서울,전용면적 102㎡초과,2015,10,5879.0
5,인천,전체,2015,10,3163.0
6,인천,전용면적 60㎡이하,2015,10,3488.0
7,인천,전용면적 60㎡초과 85㎡이하,2015,10,3119.0
8,인천,전용면적 85㎡초과 102㎡이하,2015,10,3545.0
9,인천,전용면적 102㎡초과,2015,10,3408.0
10,경기,전체,2015,10,3138.0
11,경기,전용면적 60㎡이하,2015,10,3126.0
12,경기,전용면적 60㎡초과 85㎡이하,2015,10,3239.0
13,경기,전용면적 85㎡초과 102㎡이하,2015,10,3496.0
14,경기,전용면적 102㎡초과,2015,10,3680.0
15,부산,전체,2015,10,3112.0
16,부산,전용면적 60㎡이하,2015,10,2950.0
17,부산,전용면적 60㎡초과 85㎡이하,2015,10,2999.0
18,부산,전용면적 85㎡초과 102㎡이하,2015,10,2957.0
19,부산,전용면적 102㎡초과,2015,10,3500.0
20,대구,전체,2015,10,2682.0
21,대구,전용면적 60㎡이하,2015,10,2614.0
22,대구,전용면적 60㎡초과 85㎡이하,2015,10,2696.0
23,대구,전용면적 85㎡초과 102㎡이하,2015,10,2557.0
24,대구,전용면적 102㎡초과,2015,10,2598.0
25,광주,전체,2015,10,2420.0
26,광주,전용면적 60㎡이하,2015,10,2253.0
27,광주,전용면적 60㎡초과 85㎡이하,2015,10,2439.0
28,광주,전용면적 85㎡초과 102㎡이하,2015,10,2965.1990950226245
29,광주,전용면적 102㎡초과,2015,10,2965.1990950226245
30,대전,전체,2015,10,2454.0
31,대전,전용면적 60㎡이하,2015,10,2585.0
32,대전,전용면적 60㎡초과 85㎡이하,2015,10,2428.0
33,대전,전용면적 85㎡초과 102㎡이하,2015,10,2461.0
34,대전,전용면적 102㎡초과,2015,10,2965.1990950226245
35,울산,전체,2015,10,3053.0
36,울산,전용면적 60㎡이하,2015,10,2422.0
37,울산,전용면적 60㎡초과 85㎡이하,2015,10,3040.0
38,울산,전용면적 85㎡초과 102㎡이하,2015,10,2951.0
39,울산,전용면적 102㎡초과,2015,10,2690.0
40,세종,전체,2015,10,2642.0
41,세종,전용면적 60㎡이하,2015,10,2572.0
42,세종,전용면적 60㎡초과 85㎡이하,2015,10,2657.0
43,세종,전용면적 85㎡초과 102㎡이하,2015,10,2644.0
44,세종,전용면적 102㎡초과,2015,10,2692.0
45,강원,전체,2015,10,2167.0
46,강원,전용면적 60㎡이하,2015,10,2286.0
47,강원,전용면적 60㎡초과 85㎡이하,2015,10,2212.0
48,강원,전용면적 85㎡초과 102㎡이하,2015,10,2061.0
49,강원,전용면적 102㎡초과,2015,10,2171.0
50,충북,전체,2015,10,2032.0
51,충북,전용면적 60㎡이하,2015,10,1919.0
52,충북,전용면적 60㎡초과 85㎡이하,2015,10,2033.0
53,충북,전용면적 85㎡초과 102㎡이하,2015,10,2102.0
54,충북,전용면적 102㎡초과,2015,10,2369.0
55,충남,전체,2015,10,2099.0
56,충남,전용면적 60㎡이하,2015,10,2206.0
57,충남,전용면적 60㎡초과 85㎡이하,2015,10,2101.0
58,충남,전용면적 85㎡초과 102㎡이하,2015,10,2743.0
59,충남,전용면적 102㎡초과,2015,10,2442.0
60,전북,전체,2015,10,2054.0
61,전북,전용면적 60㎡이하,2015,10,2127.0
62,전북,전용면적 60㎡초과 85㎡이하,2015,10,2056.0
63,전북,전용면적 85㎡초과 102㎡이하,2015,10,2377.0
64,전북,전용면적 102㎡초과,2015,10,2250.0
65,전남,전체,2015,10,1925.0
66,전남,전용면적 60㎡이하,2015,10,1999.0
67,전남,전용면적 60㎡초과 85㎡이하,2015,10,1922.0
68,전남,전용면적 85㎡초과 102㎡이하,2015,10,2262.0
